AVMT,Road_Name,FREQUENCY,COUNT_crashreport_corrected_XYTableToPoint_Person_ID
0.0013,OLD HUNDRED RD,2,2
0.0018,OLD HUNDRED RD,2,2
0.0031,CLARA BARTON PKENWORTHY,2,2
0.0035,QUINCE ORCHARD RD,5,5
0.0051,E RANDOLPH RD,1,1
0.0059,OLD GEORGETOWN RD,8,8
0.008,CHERRY HILL RD,2,2
0.008,RAMP 2 FR CHERRY HILL RD WB TO US 29 NB,1,1
0.0094,OLD GEORGETOWN RD,6,6
0.0114,SHADY GROVE RD,4,4
0.0131,COLUMBIA PIKE,2,2
0.0139,COLUMBIA PIKE,1,1
0.014,SHADY GROVE RD,4,4
0.014,W MONTGOMERY AVE,3,3
0.0148,LAYHILL RD,2,2
0.0149,FAIRLAND RD,2,2
0.0161,SHADY GROVE RD,2,2
0.0162,OLD GEORGETOWN RD,1,1
0.0162,SANDY SPRING RD,2,2
0.0163,RAMP 5 FR MD 187 SB TO RAMP 4 (TO IS495),1,1
0.0165,GEORGIA AVE,2,2
0.0165,NEW HAMPSHIRE AVE,2,2
0.0168,OLD HUNDRED RD,6,6
0.0171,FREDERICK RD,2,2
0.0171,RAMP 2 FR RP 7 (FR IS370 WB) TO MD355 NB,2,2
0.0195,CHERRY HILL RD,2,2
0.0212,CLARKSBURG RD,2,2
0.0217,OLD GEORGETOWN RD,2,2
0.0221,UNISSANVERSITY BLVD E,5,5
0.0248,GERMANTOWN RD,1,1
0.0254,GERMANTOWN RD,4,4
0.0273,COLUMBIA PIKE,2,2
0.0278,BEACH DR,2,2
0.028,CHERRY HILL RD,4,4
0.0283,SHADY GROVE RD,9,9
0.031,S HORNERS LA,1,1
0.0325,LAYHILL RD,1,1
0.0333,SHADY GROVE RD,17,17
0.0344,GEORGIA AVE,6,6
0.0344,JUDSON RD,2,2
0.0344,SHERATON ST,2,2
0.0351,SANDY SPRING RD,2,2
0.036,NEW HAMPSHIRE AVE,6,6
0.0369,ROCKLEDGE BLVD,3,3
0.0369,ROCKLEDGE DR,3,3
0.0379,SHADY GROVE RD,5,5
0.0386,,4,4
0.0386,FLEET ST,4,4
0.0386,JEFFERSON PLAZA,3,3
0.0386,OLD GEORGETOWN RD,2,2
0.0386,ROCKVILLE PIKE,2,2
0.0411,RAMP 6 FR MD 117 EB TO IS 270 SB,2,2
0.0411,RAMP 7 FR MD 117 WB TO RAMP 6 (TO IS270),2,2
0.0411,W DIAMOND AVE,12,12
0.0434,RIVER RD,5,5
0.0439,W MONTGOMERY AVE,2,2
0.0448,NEW HAMPSHIRE AVE,8,8
0.0448,UNKNOWNRCOUNTY CONNECTOR,2,2
0.0459,RIVER RD,4,4
0.0496,EISENHOWER MEMORIAL HWY,4,4
0.0504,QUINCE ORCHARD RD,4,4
0.0517,QUINCE ORCHARD RD,1,1
0.0519,GEORGIA AVE,6,6
0.0522,CAPITAL BELTWAY,2,2
0.0525,OLD GEORGETOWN RD,14,14
0.0552,MIDDLEBROOK RD,9,9
0.0558,PARK RD,2,2
0.0559,GERMANTOWN RD,4,4
0.0574,,1,1
0.0593,OLD GEORGETOWN RD,1,1
0.0596,CONGRESSIONAL LA,2,2
0.0596,RITCHIE PKENWORTHY,1,1
0.0596,ROCKVILLE PIKE,14,14
0.0596,VEIRS MILL RD,1,1
0.0611,CONNECTICUT AVE,4,4
0.0611,DELAWARE ST,1,1
0.0611,SHEPHERD ST,2,2
0.0634,SHADY GROVE RD,6,6
0.0643,COLUMBIA PIKE,3,3
0.0645,SHADY GROVE RD,2,2
0.0667,,2,2
0.0681,,1,1
0.0682,,1,1
0.0685,GEORGIA AVE,19,19
0.0685,RAMP 7 FR RAMP 2 (FR IS 495) TO MD 97 SB,4,4
0.0718,RAMP 8 FR IS 270 SB TO MD 124 WB,1,1
0.0742,OLD GEORGETOWN RD,12,12
